"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "Coef_b" "Coef_q"
"63" 433 "Western_Transcaucasia" "Turkey" "10 km" -0.614069957478568 0.346677604507535
"64" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.001 km" -0.727192375771656 0.336603259926741
"65" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.1 km" -0.812203737930846 0.343897730364063
"66" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.5 km" -0.778310592989405 0.34427295422288
"67" 441 "Lower_Tigris_&_Euphrates" "Turkey" "1 km" -0.828603829132832 0.347597216730395
"68" 441 "Lower_Tigris_&_Euphrates" "Turkey" "2 km" -0.932706645005601 0.350817273711209
"69" 441 "Lower_Tigris_&_Euphrates" "Turkey" "5 km" -0.865584839486486 0.349947425584215
"70" 441 "Lower_Tigris_&_Euphrates" "Turkey" "10 km" -0.91844250339879 0.351966808732405
"71" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.001 km" -0.727192375771656 0.336603259926741
"72" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.1 km" -0.812203737930846 0.343897730364063
"73" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.5 km" -0.778310592989405 0.34427295422288
"74" 441 "Lower_Tigris_&_Euphrates" "Syria" "1 km" -0.828603829132832 0.347597216730395
"75" 441 "Lower_Tigris_&_Euphrates" "Syria" "2 km" -0.932706645005601 0.350817273711209
"76" 441 "Lower_Tigris_&_Euphrates" "Syria" "5 km" -0.865584839486486 0.349947425584215
"77" 441 "Lower_Tigris_&_Euphrates" "Syria" "10 km" -0.91844250339879 0.351966808732405
"78" 426 "Crimea_Peninsula" "Ukraine" "0.001 km" -0.515300132544443 0.326951646186269
"79" 426 "Crimea_Peninsula" "Ukraine" "0.1 km" -0.542030878058227 0.337776612823343
"80" 426 "Crimea_Peninsula" "Ukraine" "0.5 km" -0.610478964590789 0.341546903236435
"81" 426 "Crimea_Peninsula" "Ukraine" "1 km" -0.611032572622857 0.342994198083346
"82" 426 "Crimea_Peninsula" "Ukraine" "2 km" -0.564003084851046 0.342061496814467
"83" 426 "Crimea_Peninsula" "Ukraine" "5 km" -0.561300445339003 0.342501496133742
"84" 426 "Crimea_Peninsula" "Ukraine" "10 km" -0.588759306003041 0.343522930192803
"85" 421 "Ionian_Drainages" "Greece" "0.001 km" -0.330295282112393 0.323258346657673
"86" 421 "Ionian_Drainages" "Greece" "0.1 km" -0.569277851254191 0.340208230581495
"87" 421 "Ionian_Drainages" "Greece" "0.5 km" -0.572810704037863 0.342378764547169
