"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Value"
"Temporal Freshwaters" "Proportional decay rate (b)" "0.5 km" "Dev. exp." 0.359788531791674
"Temporal Freshwaters" "Collapsing rate (q)" "0.5 km" "R-sq.(adj)" 0.692297866521506
"Temporal Freshwaters" "Collapsing rate (q)" "0.5 km" "Dev. exp." 0.705651431708984
"Temporal Freshwaters" "Proportional decay rate (b)" "1 km" "R-sq.(adj)" 0.187717412395576
"Temporal Freshwaters" "Proportional decay rate (b)" "1 km" "Dev. exp." 0.207088216914532
"Temporal Freshwaters" "Collapsing rate (q)" "1 km" "R-sq.(adj)" 0.670467954611785
"Temporal Freshwaters" "Collapsing rate (q)" "1 km" "Dev. exp." 0.695867192722359
"Temporal Freshwaters" "Proportional decay rate (b)" "2 km" "R-sq.(adj)" 0.109025172976238
"Temporal Freshwaters" "Proportional decay rate (b)" "2 km" "Dev. exp." 0.141669547589388
"Temporal Freshwaters" "Collapsing rate (q)" "2 km" "R-sq.(adj)" 0.654662441334439
"Temporal Freshwaters" "Collapsing rate (q)" "2 km" "Dev. exp." 0.686431754709588
"Temporal Freshwaters" "Proportional decay rate (b)" "5 km" "R-sq.(adj)" 0.248466127723281
"Temporal Freshwaters" "Proportional decay rate (b)" "5 km" "Dev. exp." 0.266840016458758
"Temporal Freshwaters" "Collapsing rate (q)" "5 km" "R-sq.(adj)" 0.733831028705962
"Temporal Freshwaters" "Collapsing rate (q)" "5 km" "Dev. exp." 0.761447293189556
"Temporal Freshwaters" "Proportional decay rate (b)" "10 km" "R-sq.(adj)" 0.0768987330020037
"Temporal Freshwaters" "Proportional decay rate (b)" "10 km" "Dev. exp." 0.0997683741436048
"Temporal Freshwaters" "Collapsing rate (q)" "10 km" "R-sq.(adj)" 0.458978017772194
"Temporal Freshwaters" "Collapsing rate (q)" "10 km" "Dev. exp." 0.488223417501663
"Ephemeral Freshwaters" "Proportional decay rate (b)" "0.001 km" "R-sq.(adj)" -0.0692851203486557
"Ephemeral Freshwaters" "Proportional decay rate (b)" "0.001 km" "Dev. exp." -2.08309253356206
"Ephemeral Freshwaters" "Collapsing rate (q)" "0.001 km" "R-sq.(adj)" 0.475946931969748
"Ephemeral Freshwaters" "Collapsing rate (q)" "0.001 km" "Dev. exp." 0.573261579425209
"Ephemeral Freshwaters" "Proportional decay rate (b)" "0.1 km" "R-sq.(adj)" 0.6336247677758
"Ephemeral Freshwaters" "Proportional decay rate (b)" "0.1 km" "Dev. exp." 1.24615031512186
"Ephemeral Freshwaters" "Collapsing rate (q)" "0.1 km" "R-sq.(adj)" 0.664529323587434
"Ephemeral Freshwaters" "Collapsing rate (q)" "0.1 km" "Dev. exp." 0.736524263987073
"Ephemeral Freshwaters" "Proportional decay rate (b)" "0.5 km" "R-sq.(adj)" 0.733331852248382
"Ephemeral Freshwaters" "Proportional decay rate (b)" "0.5 km" "Dev. exp." 1.15481861335299
"Ephemeral Freshwaters" "Collapsing rate (q)" "0.5 km" "R-sq.(adj)" 0.632948145613953
"Ephemeral Freshwaters" "Collapsing rate (q)" "0.5 km" "Dev. exp." 0.700353844971465
"Ephemeral Freshwaters" "Proportional decay rate (b)" "1 km" "R-sq.(adj)" 0.717812492136925
"Ephemeral Freshwaters" "Proportional decay rate (b)" "1 km" "Dev. exp." 1.16083812886651
"Ephemeral Freshwaters" "Collapsing rate (q)" "1 km" "R-sq.(adj)" 0.735935560121225
"Ephemeral Freshwaters" "Collapsing rate (q)" "1 km" "Dev. exp." 0.794323593578241
"Ephemeral Freshwaters" "Proportional decay rate (b)" "2 km" "R-sq.(adj)" 0.732018987971808
"Ephemeral Freshwaters" "Proportional decay rate (b)" "2 km" "Dev. exp." 1.13229437266204
"Ephemeral Freshwaters" "Collapsing rate (q)" "2 km" "R-sq.(adj)" 0.76901970997724
"Ephemeral Freshwaters" "Collapsing rate (q)" "2 km" "Dev. exp." 0.826908653159689
"Ephemeral Freshwaters" "Proportional decay rate (b)" "5 km" "R-sq.(adj)" 0.616876198030902
"Ephemeral Freshwaters" "Proportional decay rate (b)" "5 km" "Dev. exp." 1.14830664068269
"Ephemeral Freshwaters" "Collapsing rate (q)" "5 km" "R-sq.(adj)" 0.669593937925496
"Ephemeral Freshwaters" "Collapsing rate (q)" "5 km" "Dev. exp." 0.717233732720794
"Ephemeral Freshwaters" "Proportional decay rate (b)" "10 km" "R-sq.(adj)" 0.58608413303056
"Ephemeral Freshwaters" "Proportional decay rate (b)" "10 km" "Dev. exp." 1.05092990533445
"Ephemeral Freshwaters" "Collapsing rate (q)" "10 km" "R-sq.(adj)" 0.682807605319067
"Ephemeral Freshwaters" "Collapsing rate (q)" "10 km" "Dev. exp." 0.73396739718815
