"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "b_Coef" "q_Coef"
"64" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.001 km" -0.727194543376619 0.336603349703225
"65" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.1 km" -0.812205111848783 0.343897777298861
"66" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.5 km" -0.778312166936546 0.344273007350969
"67" 441 "Lower_Tigris_&_Euphrates" "Turkey" "1 km" -0.828604346647429 0.347597232593524
"68" 441 "Lower_Tigris_&_Euphrates" "Turkey" "2 km" -0.580223320427343 NA
"69" 441 "Lower_Tigris_&_Euphrates" "Turkey" "5 km" -0.61702234487632 NA
"70" 441 "Lower_Tigris_&_Euphrates" "Turkey" "10 km" -0.918437914899411 0.351966682412728
"71" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.001 km" -0.727194543376619 0.336603349703225
"72" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.1 km" -0.812205111848783 0.343897777298861
"73" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.5 km" -0.778312166936546 0.344273007350969
"74" 441 "Lower_Tigris_&_Euphrates" "Syria" "1 km" -0.828604346647429 0.347597232593524
"75" 441 "Lower_Tigris_&_Euphrates" "Syria" "2 km" -0.580223320427343 NA
"76" 441 "Lower_Tigris_&_Euphrates" "Syria" "5 km" -0.61702234487632 NA
"77" 441 "Lower_Tigris_&_Euphrates" "Syria" "10 km" -0.918437914899411 0.351966682412728
"78" 426 "Crimea_Peninsula" "Ukraine" "0.001 km" -0.515300793297757 0.326951681239742
"79" 426 "Crimea_Peninsula" "Ukraine" "0.1 km" -0.542031177568043 0.337776624750726
"80" 426 "Crimea_Peninsula" "Ukraine" "0.5 km" -0.610476510498081 0.341546813347773
"81" 426 "Crimea_Peninsula" "Ukraine" "1 km" -0.611029044898872 0.342994074042441
"82" 426 "Crimea_Peninsula" "Ukraine" "2 km" -0.564003209582177 0.342061501517977
"83" 426 "Crimea_Peninsula" "Ukraine" "5 km" -0.561300699529472 0.342501505162636
"84" 426 "Crimea_Peninsula" "Ukraine" "10 km" -0.588759564219225 0.343522939106691
"85" 421 "Ionian_Drainages" "Greece" "0.001 km" -0.491853378821466 NA
"86" 421 "Ionian_Drainages" "Greece" "0.1 km" -0.569277971738943 0.340208235180717
"87" 421 "Ionian_Drainages" "Greece" "0.5 km" -0.572808737018641 0.342378694158776
"88" 421 "Ionian_Drainages" "Greece" "1 km" -0.541998336185119 0.34299029111128
"89" 421 "Ionian_Drainages" "Greece" "2 km" -0.540169988871782 0.343917186181446
"90" 421 "Ionian_Drainages" "Greece" "5 km" -0.566805244490053 0.34600987042756
"91" 421 "Ionian_Drainages" "Greece" "10 km" -0.564831201151659 0.34532694897408
"92" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.001 km" -0.528586593001809 0.328099260285874
"93" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.1 km" -0.530002400479432 0.337159216169456
"94" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.5 km" -0.620463481248448 0.34264853215594
"95" 420 "Southeast_Adriatic_Drainages" "Montenegro" "1 km" -0.616150288283806 0.344439290296185
"96" 420 "Southeast_Adriatic_Drainages" "Montenegro" "2 km" -0.543987863514206 0.342550487359065
"97" 420 "Southeast_Adriatic_Drainages" "Montenegro" "5 km" -0.630125331610874 0.346371119895578
"98" 420 "Southeast_Adriatic_Drainages" "Montenegro" "10 km" -0.588376402216938 0.345291919144313
"99" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.001 km" -0.528586593001809 0.328099260285874
"100" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.1 km" -0.530002400479432 0.337159216169456
"101" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.5 km" -0.620463481248448 0.34264853215594
"102" 420 "Southeast_Adriatic_Drainages" "Serbia" "1 km" -0.616150288283806 0.344439290296185
"103" 420 "Southeast_Adriatic_Drainages" "Serbia" "2 km" -0.543987863514206 0.342550487359065
"104" 420 "Southeast_Adriatic_Drainages" "Serbia" "5 km" -0.630125331610874 0.346371119895578
"105" 420 "Southeast_Adriatic_Drainages" "Serbia" "10 km" -0.588376402216938 0.345291919144313
"106" 420 "Southeast_Adriatic_Drainages" "Albania" "0.001 km" -0.528586593001809 0.328099260285874
"107" 420 "Southeast_Adriatic_Drainages" "Albania" "0.1 km" -0.530002400479432 0.337159216169456
"108" 420 "Southeast_Adriatic_Drainages" "Albania" "0.5 km" -0.620463481248448 0.34264853215594
"109" 420 "Southeast_Adriatic_Drainages" "Albania" "1 km" -0.616150288283806 0.344439290296185
"110" 420 "Southeast_Adriatic_Drainages" "Albania" "2 km" -0.543987863514206 0.342550487359065
"111" 420 "Southeast_Adriatic_Drainages" "Albania" "5 km" -0.630125331610874 0.346371119895578
"112" 420 "Southeast_Adriatic_Drainages" "Albania" "10 km" -0.588376402216938 0.345291919144313
"113" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "0.001 km" -0.528586593001809 0.328099260285874
"114" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "0.1 km" -0.530002400479432 0.337159216169456
"115" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "0.5 km" -0.620463481248448 0.34264853215594
"116" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "1 km" -0.616150288283806 0.344439290296185
"117" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "2 km" -0.543987863514206 0.342550487359065
"118" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "5 km" -0.630125331610874 0.346371119895578
"119" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "10 km" -0.588376402216938 0.345291919144313
"120" 420 "Southeast_Adriatic_Drainages" "Greece" "0.001 km" -0.528586593001809 0.328099260285874
"121" 420 "Southeast_Adriatic_Drainages" "Greece" "0.1 km" -0.530002400479432 0.337159216169456
"122" 420 "Southeast_Adriatic_Drainages" "Greece" "0.5 km" -0.620463481248448 0.34264853215594
"123" 420 "Southeast_Adriatic_Drainages" "Greece" "1 km" -0.616150288283806 0.344439290296185
"124" 420 "Southeast_Adriatic_Drainages" "Greece" "2 km" -0.543987863514206 0.342550487359065
"125" 420 "Southeast_Adriatic_Drainages" "Greece" "5 km" -0.630125331610874 0.346371119895578
"126" 420 "Southeast_Adriatic_Drainages" "Greece" "10 km" -0.588376402216938 0.345291919144313
"127" 424 "Aegean_Drainages" "Greece" "0.001 km" -0.480261286804381 0.331953350796512
"128" 424 "Aegean_Drainages" "Greece" "0.1 km" -0.625540673032365 0.344398577361726
"129" 424 "Aegean_Drainages" "Greece" "0.5 km" -0.682144397239942 0.347214365313409
"130" 424 "Aegean_Drainages" "Greece" "1 km" -0.646088500114931 0.347742583209036
"131" 424 "Aegean_Drainages" "Greece" "2 km" -0.586974073540099 0.346710576787891
"132" 424 "Aegean_Drainages" "Greece" "5 km" -0.614742338075452 0.348754524400756
"133" 424 "Aegean_Drainages" "Greece" "10 km" -0.664129880610047 0.350335482418365
"134" 422 "Vardar" "Serbia" "0.001 km" -0.31245565786902 NA
"135" 422 "Vardar" "Serbia" "0.1 km" -0.838532230471646 0.34441991624145
"136" 422 "Vardar" "Serbia" "0.5 km" -0.796408226355931 0.344043288337198
"137" 422 "Vardar" "Serbia" "1 km" -0.75173909936192 0.3449021771194
