"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "Coef_b" "Coef_q"
"70" 441 "Lower_Tigris_&_Euphrates" "Turkey" "10 km" -0.920983661323521 0.350488253826373
"71" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.001 km" -0.79800419401083 0.337810872966891
"72" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.1 km" -0.880734524770288 0.342344155992968
"73" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.5 km" -0.946488854296431 0.347420009456113
"74" 441 "Lower_Tigris_&_Euphrates" "Syria" "1 km" -0.924270459035608 0.348026406722069
"75" 441 "Lower_Tigris_&_Euphrates" "Syria" "2 km" -0.912854899481311 0.348508712905683
"76" 441 "Lower_Tigris_&_Euphrates" "Syria" "5 km" -0.986250350067106 0.351484366286879
"77" 441 "Lower_Tigris_&_Euphrates" "Syria" "10 km" -0.920983661323521 0.350488253826373
"78" 426 "Crimea_Peninsula" "Ukraine" "0.001 km" -0.603220581791804 0.332039535739363
"79" 426 "Crimea_Peninsula" "Ukraine" "0.1 km" -0.670422203626285 0.341796475567069
"80" 426 "Crimea_Peninsula" "Ukraine" "0.5 km" -0.627240550007443 0.341210177763864
"81" 426 "Crimea_Peninsula" "Ukraine" "1 km" -0.604678584912526 0.342307617207978
"82" 426 "Crimea_Peninsula" "Ukraine" "2 km" -0.552293880057474 0.34131472184179
"83" 426 "Crimea_Peninsula" "Ukraine" "5 km" -0.643176137178203 0.344943939768392
"84" 426 "Crimea_Peninsula" "Ukraine" "10 km" -0.594648249865617 0.343795067224111
"85" 421 "Ionian_Drainages" "Greece" "0.001 km" -0.444322556725737 0.326358856599112
"86" 421 "Ionian_Drainages" "Greece" "0.1 km" -0.568949093530895 0.339200679903
"87" 421 "Ionian_Drainages" "Greece" "0.5 km" -0.587784657735897 0.341967875362017
"88" 421 "Ionian_Drainages" "Greece" "1 km" -0.505512568387683 0.340770199724568
"89" 421 "Ionian_Drainages" "Greece" "2 km" -0.511315883460662 0.342090325631296
"90" 421 "Ionian_Drainages" "Greece" "5 km" -0.475825375344895 0.342377070367009
"91" 421 "Ionian_Drainages" "Greece" "10 km" -0.537589246450371 0.34420715881145
"92" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.001 km" -0.529408285146027 0.323894906783648
"93" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.1 km" -0.585764216884966 0.335390833062458
"94" 420 "Southeast_Adriatic_Drainages" "Montenegro" "0.5 km" -0.524133426385777 0.335036550210655
"95" 420 "Southeast_Adriatic_Drainages" "Montenegro" "1 km" -0.603365040721088 0.340426124619594
"96" 420 "Southeast_Adriatic_Drainages" "Montenegro" "2 km" -0.617623634482573 0.34240406600764
"97" 420 "Southeast_Adriatic_Drainages" "Montenegro" "5 km" -0.56583605337403 0.34186556972145
"98" 420 "Southeast_Adriatic_Drainages" "Montenegro" "10 km" -0.586124565005301 0.342981276648943
"99" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.001 km" -0.529408285146027 0.323894906783648
"100" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.1 km" -0.585764216884966 0.335390833062458
"101" 420 "Southeast_Adriatic_Drainages" "Serbia" "0.5 km" -0.524133426385777 0.335036550210655
"102" 420 "Southeast_Adriatic_Drainages" "Serbia" "1 km" -0.603365040721088 0.340426124619594
"103" 420 "Southeast_Adriatic_Drainages" "Serbia" "2 km" -0.617623634482573 0.34240406600764
"104" 420 "Southeast_Adriatic_Drainages" "Serbia" "5 km" -0.56583605337403 0.34186556972145
"105" 420 "Southeast_Adriatic_Drainages" "Serbia" "10 km" -0.586124565005301 0.342981276648943
"106" 420 "Southeast_Adriatic_Drainages" "Albania" "0.001 km" -0.529408285146027 0.323894906783648
"107" 420 "Southeast_Adriatic_Drainages" "Albania" "0.1 km" -0.585764216884966 0.335390833062458
"108" 420 "Southeast_Adriatic_Drainages" "Albania" "0.5 km" -0.524133426385777 0.335036550210655
"109" 420 "Southeast_Adriatic_Drainages" "Albania" "1 km" -0.603365040721088 0.340426124619594
"110" 420 "Southeast_Adriatic_Drainages" "Albania" "2 km" -0.617623634482573 0.34240406600764
"111" 420 "Southeast_Adriatic_Drainages" "Albania" "5 km" -0.56583605337403 0.34186556972145
"112" 420 "Southeast_Adriatic_Drainages" "Albania" "10 km" -0.586124565005301 0.342981276648943
"113" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "0.001 km" -0.529408285146027 0.323894906783648
"114" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "0.1 km" -0.585764216884966 0.335390833062458
"115" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "0.5 km" -0.524133426385777 0.335036550210655
"116" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "1 km" -0.603365040721088 0.340426124619594
"117" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "2 km" -0.617623634482573 0.34240406600764
"118" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "5 km" -0.56583605337403 0.34186556972145
"119" 420 "Southeast_Adriatic_Drainages" "North Macedonia" "10 km" -0.586124565005301 0.342981276648943
"120" 420 "Southeast_Adriatic_Drainages" "Greece" "0.001 km" -0.529408285146027 0.323894906783648
"121" 420 "Southeast_Adriatic_Drainages" "Greece" "0.1 km" -0.585764216884966 0.335390833062458
"122" 420 "Southeast_Adriatic_Drainages" "Greece" "0.5 km" -0.524133426385777 0.335036550210655
"123" 420 "Southeast_Adriatic_Drainages" "Greece" "1 km" -0.603365040721088 0.340426124619594
"124" 420 "Southeast_Adriatic_Drainages" "Greece" "2 km" -0.617623634482573 0.34240406600764
"125" 420 "Southeast_Adriatic_Drainages" "Greece" "5 km" -0.56583605337403 0.34186556972145
"126" 420 "Southeast_Adriatic_Drainages" "Greece" "10 km" -0.586124565005301 0.342981276648943
"127" 424 "Aegean_Drainages" "Greece" "0.001 km" -0.440832155968465 0.330347072097806
"128" 424 "Aegean_Drainages" "Greece" "0.1 km" -0.741432585482181 0.347996377370638
"129" 424 "Aegean_Drainages" "Greece" "0.5 km" -0.627799897750399 0.345448144706101
"130" 424 "Aegean_Drainages" "Greece" "1 km" -0.617002141588758 0.346612960775923
"131" 424 "Aegean_Drainages" "Greece" "2 km" -0.649364842163058 0.348463690995669
"132" 424 "Aegean_Drainages" "Greece" "5 km" -0.593005710107627 0.347755236412786
"133" 424 "Aegean_Drainages" "Greece" "10 km" -0.641766657022637 0.349196730322912
"134" 422 "Vardar" "Serbia" "0.001 km" -0.792894931025547 0.337406363499352
"135" 422 "Vardar" "Serbia" "0.1 km" -0.992465452379596 0.348871423751082
"136" 422 "Vardar" "Serbia" "0.5 km" -0.933569586972269 0.348054709544449
"137" 422 "Vardar" "Serbia" "1 km" -0.896197728707251 0.34898543391682
"138" 422 "Vardar" "Serbia" "2 km" -0.885581667622124 0.349451578081256
"139" 422 "Vardar" "Serbia" "5 km" -0.898405484097589 0.351854778589275
"140" 422 "Vardar" "Serbia" "10 km" -1.00726539806277 0.355384071404928
"141" 422 "Vardar" "North Macedonia" "0.001 km" -0.792894931025547 0.337406363499352
"142" 422 "Vardar" "North Macedonia" "0.1 km" -0.992465452379596 0.348871423751082
"143" 422 "Vardar" "North Macedonia" "0.5 km" -0.933569586972269 0.348054709544449
"144" 422 "Vardar" "North Macedonia" "1 km" -0.896197728707251 0.34898543391682
