"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Estimate" "Std..Error" "z.value" "Pr...z.."
"Total" "Collapsing rate (q)" "1 km" "s(Long)" 6.61571503288689e-06 2 2.55263646092056e-06 0.641561197520278
"Total" "Collapsing rate (q)" "1 km" "s(Lat)" 8.79761319877385e-06 2 3.53318559939412e-06 0.593735079376873
"Total" "Collapsing rate (q)" "1 km" "s(Betw_Med)" 1.85870657404885 2 37.7135445960897 0
"Total" "Collapsing rate (q)" "1 km" "s(OutDeg_Med)" 1.84068297160057 2 41.0801377085899 0
"Total" "Collapsing rate (q)" "1 km" "s(WatCov_Mean)" 1.39641484540253 2 21.0867472578416 1.86516187372643e-06
"Total" "Collapsing rate (q)" "1 km" "s(WatCov_CV)" 0.925463992077504 2 12.3957215526515 9.78925331872604e-05
"Total" "Proportional decay rate (b)" "2 km" "(Intercept)" 0.375557457657864 0.0685406431637904 5.47933956149785 4.26916359297127e-08
"Total" "Proportional decay rate (b)" "2 km" "s(Long)" 0.249893362824544 2 0.304467495358161 0.283548694692902
"Total" "Proportional decay rate (b)" "2 km" "s(Lat)" 2.52056975638876e-05 2 2.63352362962105e-06 0.840549855317989
"Total" "Proportional decay rate (b)" "2 km" "s(Betw_Med)" 0.944303058362818 2 16.4887095451824 2.53741458878798e-05
"Total" "Proportional decay rate (b)" "2 km" "s(OutDeg_Med)" 0.970154819286534 2 31.7676608437038 0
"Total" "Proportional decay rate (b)" "2 km" "s(WatCov_Mean)" 1.06137180228512 2 8.70903403519726 0.00159364386354421
"Total" "Proportional decay rate (b)" "2 km" "s(WatCov_CV)" 0.978736937118897 2 18.6864907516869 3.94152329707964e-06
"Total" "Collapsing rate (q)" "2 km" "(Intercept)" -0.653208787993622 0.00217354970524888 -300.526271111351 0
"Total" "Collapsing rate (q)" "2 km" "s(Long)" 3.62468922788251e-06 2 3.27279719188467e-07 0.904451370277323
"Total" "Collapsing rate (q)" "2 km" "s(Lat)" 1.53438873495393e-05 2 3.05450640449594e-06 0.757566366655435
"Total" "Collapsing rate (q)" "2 km" "s(Betw_Med)" 1.79853844415947 2 19.5451749737713 1.91746784589109e-05
"Total" "Collapsing rate (q)" "2 km" "s(OutDeg_Med)" 1.81349644293766 2 25.4425104639409 6.44705011598745e-08
"Total" "Collapsing rate (q)" "2 km" "s(WatCov_Mean)" 1.45472338944535 2 15.4211416545079 4.65004063723296e-05
"Total" "Collapsing rate (q)" "2 km" "s(WatCov_CV)" 0.883526956827831 2 7.57790600122363 0.00171947640126546
"Total" "Proportional decay rate (b)" "5 km" "(Intercept)" 0.673859403686834 0.138568617590274 4.86300156128663 1.15618934747677e-06
"Total" "Proportional decay rate (b)" "5 km" "s(Long)" 0.531280660702594 2 1.02329893980171 0.164021913352928
"Total" "Proportional decay rate (b)" "5 km" "s(Lat)" 0.873581541056256 2 6.70146462649729 0.00471504979065895
"Total" "Proportional decay rate (b)" "5 km" "s(Betw_Med)" 0.894819319110991 2 7.93918000711337 0.00265719465883896
"Total" "Proportional decay rate (b)" "5 km" "s(OutDeg_Med)" 4.26582744702851e-06 2 5.69323899730768e-08 0.967087691363813
"Total" "Proportional decay rate (b)" "5 km" "s(WatCov_Mean)" 0.522210805319412 2 0.905090780877916 0.153106439393971
"Total" "Proportional decay rate (b)" "5 km" "s(WatCov_CV)" 1.0892250446045 2 5.06051790498061 0.0115195390546554
"Total" "Collapsing rate (q)" "5 km" "(Intercept)" -0.643271012966575 0.0023774380594766 -270.573195546551 0
"Total" "Collapsing rate (q)" "5 km" "s(Long)" 1.87481158687173e-05 2 1.80682810074866e-06 0.898800820616156
"Total" "Collapsing rate (q)" "5 km" "s(Lat)" 0.888763573202201 2 7.99069865926441 0.00241716554728633
"Total" "Collapsing rate (q)" "5 km" "s(Betw_Med)" 0.129953648644391 2 0.149323876808706 0.279738914415909
"Total" "Collapsing rate (q)" "5 km" "s(OutDeg_Med)" 1.06039202924662e-05 2 1.01334027665639e-06 0.8669113035165
"Total" "Collapsing rate (q)" "5 km" "s(WatCov_Mean)" 4.56501251873981e-05 2 2.5791699109869e-05 0.539483540353229
"Total" "Collapsing rate (q)" "5 km" "s(WatCov_CV)" 0.929930202466111 2 10.2134992222688 0.000779220358804289
"Total" "Proportional decay rate (b)" "10 km" "(Intercept)" 0.796400822523677 0.130401204722133 6.1073118474687 1.01323147924402e-09
"Total" "Proportional decay rate (b)" "10 km" "s(Long)" 0.662188807453208 2 1.92195437752119 0.0818572443564901
"Total" "Proportional decay rate (b)" "10 km" "s(Lat)" 0.558816975825359 2 1.40103525505828 0.0965369526074521
"Total" "Proportional decay rate (b)" "10 km" "s(Betw_Med)" 0.935712389220895 2 13.8381047198046 5.33569699581182e-05
"Total" "Proportional decay rate (b)" "10 km" "s(OutDeg_Med)" 1.28493761838837 2 38.143666289195 0
"Total" "Proportional decay rate (b)" "10 km" "s(WatCov_Mean)" 1.1368883861058 2 11.2601633606878 0.000134326133736762
"Total" "Proportional decay rate (b)" "10 km" "s(WatCov_CV)" 0.898835128424492 2 8.41046777966832 0.000505723126329682
"Total" "Collapsing rate (q)" "10 km" "(Intercept)" -0.639626316410627 0.00179070281022648 -357.192892510025 0
"Total" "Collapsing rate (q)" "10 km" "s(Long)" 7.23388498498783e-06 2 1.04973746825138e-07 0.98364938945133
"Total" "Collapsing rate (q)" "10 km" "s(Lat)" 0.0756147247011493 2 0.0817622526653795 0.283695890857548
"Total" "Collapsing rate (q)" "10 km" "s(Betw_Med)" 0.936787930530796 2 14.8257283765476 4.95667406127387e-05
"Total" "Collapsing rate (q)" "10 km" "s(OutDeg_Med)" 1.77593135971283 2 38.7041652724878 0
"Total" "Collapsing rate (q)" "10 km" "s(WatCov_Mean)" 1.56830149703396 2 17.6539743997336 1.30071904115292e-05
"Total" "Collapsing rate (q)" "10 km" "s(WatCov_CV)" 0.906970861183063 2 9.73496061481834 0.000410651823563812
"Permanent" "Proportional decay rate (b)" "0.001 km" "(Intercept)" -0.249665255396588 0.0689154976760283 -3.62277374198564 0.000291460751432135
"Permanent" "Proportional decay rate (b)" "0.001 km" "s(Long)" 0.413275973463333 2 0.715604291144068 0.174065361537342
"Permanent" "Proportional decay rate (b)" "0.001 km" "s(Betw_CV)" 0.869332501595458 4 6.52331424610719 0.00469893485017203
"Permanent" "Proportional decay rate (b)" "0.001 km" "s(OutDeg_CV)" 0.616456982434721 2 1.61810870464882 0.097875920827923
"Permanent" "Proportional decay rate (b)" "0.001 km" "s(WatCov_Mean)" 0.770482998314104 2 3.32642887913722 0.0304893835784217
"Permanent" "Proportional decay rate (b)" "0.001 km" "s(WatCov_CV)" 0.954410780873439 2 20.3613541323634 2.82649444083294e-06
"Permanent" "Collapsing rate (q)" "0.001 km" "(Intercept)" -0.73078705543697 0.0059758529059619 -122.290000596884 0
"Permanent" "Collapsing rate (q)" "0.001 km" "s(Long)" 6.22329920729501e-05 2 9.9528001119687e-07 0.932352672902919
"Permanent" "Collapsing rate (q)" "0.001 km" "s(Betw_CV)" 1.40971028593761 4 12.2253648231612 0.000170894427220958
"Permanent" "Collapsing rate (q)" "0.001 km" "s(OutDeg_CV)" 0.471935072431426 2 0.896521694972141 0.136610240882551
"Permanent" "Collapsing rate (q)" "0.001 km" "s(WatCov_Mean)" 0.603086671146933 2 1.51962041290219 0.102073903878732
"Permanent" "Collapsing rate (q)" "0.001 km" "s(WatCov_CV)" 1.56729773624309 2 34.9352293205875 0
"Permanent" "Proportional decay rate (b)" "0.1 km" "(Intercept)" 0.100993759027364 0.0698142240035126 1.44660719887515 0.14800696883256
"Permanent" "Proportional decay rate (b)" "0.1 km" "s(Long)" 0.81704837065147 2 4.43477825415401 0.0186650549436794
"Permanent" "Proportional decay rate (b)" "0.1 km" "s(Betw_CV)" 0.731908325353436 4 2.69427794848994 0.0488827206078204
"Permanent" "Proportional decay rate (b)" "0.1 km" "s(OutDeg_CV)" 0.303585743117897 2 0.438782543874452 0.205954554858986
"Permanent" "Proportional decay rate (b)" "0.1 km" "s(WatCov_Mean)" 7.63290017727961e-06 2 1.2595575839293e-06 0.836365224970267
"Permanent" "Proportional decay rate (b)" "0.1 km" "s(WatCov_CV)" 0.924564950858048 2 12.0096208662193 3.42102276241762e-05
"Permanent" "Collapsing rate (q)" "0.1 km" "(Intercept)" -0.69667036910072 0.00467519635209562 -149.014141146915 0
"Permanent" "Collapsing rate (q)" "0.1 km" "s(Long)" 4.29397079806814e-05 2 2.796556078161e-06 0.93204907682054
"Permanent" "Collapsing rate (q)" "0.1 km" "s(Betw_CV)" 0.930787727697505 4 13.4353902142199 9.9048199434737e-05
"Permanent" "Collapsing rate (q)" "0.1 km" "s(OutDeg_CV)" 0.865205807380273 2 6.41914566119457 0.00269732993614702
"Permanent" "Collapsing rate (q)" "0.1 km" "s(WatCov_Mean)" 0.651028298032716 2 1.86643983507906 0.0752292927977281
"Permanent" "Collapsing rate (q)" "0.1 km" "s(WatCov_CV)" 0.806864701063869 2 4.17735113627396 0.0117547483675294
"Permanent" "Proportional decay rate (b)" "0.5 km" "(Intercept)" 0.352470273023169 0.0677036161287713 5.20607750630005 1.92874112247805e-07
"Permanent" "Proportional decay rate (b)" "0.5 km" "s(Long)" 7.86177288814987e-06 2 2.18146668672757e-06 0.732987799392529
"Permanent" "Proportional decay rate (b)" "0.5 km" "s(Betw_CV)" 0.779184209853109 4 3.52341336490238 0.0288936448377046
"Permanent" "Proportional decay rate (b)" "0.5 km" "s(OutDeg_CV)" 0.600407317659181 2 1.51845386697965 0.0971930605440935
"Permanent" "Proportional decay rate (b)" "0.5 km" "s(WatCov_Mean)" 0.699746217780731 2 2.30248747681675 0.0601362521113749
"Permanent" "Proportional decay rate (b)" "0.5 km" "s(WatCov_CV)" 1.17084398843278 2 4.16010660383736 0.0265167668878196
"Permanent" "Collapsing rate (q)" "0.5 km" "(Intercept)" -0.677756476105512 0.00346554424860015 -195.569996366164 0
"Permanent" "Collapsing rate (q)" "0.5 km" "s(Long)" 0.483076482318255 2 0.934227974498087 0.154419755598028
"Permanent" "Collapsing rate (q)" "0.5 km" "s(Betw_CV)" 1.60698205318143 4 11.8428868768083 0.000289724201527397
