"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Estimate" "Std..Error" "z.value" "Pr...z.."
"Temporary" "Proportional decay rate (b)" "0.5 km" "s(Long)" 0.0830951673095 2 0.0922036173433301 0.292152197684208
"Temporary" "Proportional decay rate (b)" "0.5 km" "s(Lat)" 6.29900273218116e-06 2 1.71085834214835e-06 0.710009354400637
"Temporary" "Proportional decay rate (b)" "0.5 km" "s(Betw_CV)" 8.89053784761851e-06 4 3.14410949974668e-06 0.727192559958295
"Temporary" "Proportional decay rate (b)" "0.5 km" "s(OutDeg_Med)" 0.833426299569614 2 4.86616489063453 0.0156760349849779
"Temporary" "Proportional decay rate (b)" "0.5 km" "s(WatCov_Mean)" 1.32122139927096e-05 2 8.96292211930571e-06 0.465996800772487
"Temporary" "Collapsing rate (q)" "0.5 km" "(Intercept)" -0.655534912385456 0.00334486459408956 -195.982496135658 0
"Temporary" "Collapsing rate (q)" "0.5 km" "s(Long)" 0.504027356410617 2 1.01580728738397 0.146116431246692
"Temporary" "Collapsing rate (q)" "0.5 km" "s(Lat)" 4.66793481556709e-05 2 1.3486361137052e-05 0.651540018523858
"Temporary" "Collapsing rate (q)" "0.5 km" "s(Betw_CV)" 0.70697503168906 4 1.36737774552336 0.128727191868508
"Temporary" "Collapsing rate (q)" "0.5 km" "s(OutDeg_Med)" 1.51496772450779 2 14.892702727344 6.61229196292634e-05
"Temporary" "Collapsing rate (q)" "0.5 km" "s(WatCov_Mean)" 0.638998317819858 2 1.76746035028366 0.0918869888067735
"Temporary" "Proportional decay rate (b)" "1 km" "(Intercept)" 0.420589694792615 0.076033775076041 5.53161663184533 3.17292778929872e-08
"Temporary" "Proportional decay rate (b)" "1 km" "s(Long)" 7.80175741536161e-06 2 2.34417246477128e-06 0.717603915666136
"Temporary" "Proportional decay rate (b)" "1 km" "s(Lat)" 0.431634912494022 2 0.761482510179244 0.184104562704106
"Temporary" "Proportional decay rate (b)" "1 km" "s(Betw_CV)" 2.51425186390127e-05 4 1.95585882009274e-05 0.41246855481278
"Temporary" "Proportional decay rate (b)" "1 km" "s(OutDeg_Med)" 3.36676133409181e-05 2 2.9220497744805e-05 0.356790939487359
"Temporary" "Proportional decay rate (b)" "1 km" "s(WatCov_Mean)" 7.22019117291033e-06 2 1.90325362212092e-06 0.726029546182173
"Temporary" "Collapsing rate (q)" "1 km" "(Intercept)" -0.649612472371357 0.00329970465723801 -196.869883777753 0
"Temporary" "Collapsing rate (q)" "1 km" "s(Long)" 5.70420835646938e-05 2 1.97802061297117e-05 0.680267879370031
"Temporary" "Collapsing rate (q)" "1 km" "s(Lat)" 4.2523074721013e-05 2 1.1733715360553e-05 0.647551921971271
"Temporary" "Collapsing rate (q)" "1 km" "s(Betw_CV)" 0.81866415441827 4 1.78612328429564 0.104433265489308
"Temporary" "Collapsing rate (q)" "1 km" "s(OutDeg_Med)" 1.34565173442707 2 7.04521324615637 0.00508247440483756
"Temporary" "Collapsing rate (q)" "1 km" "s(WatCov_Mean)" 0.705844047869392 2 2.39723116574322 0.0617435140733906
"Temporary" "Proportional decay rate (b)" "2 km" "(Intercept)" 0.35187437557336 0.0752203702090631 4.67791337101082 2.89808926362186e-06
"Temporary" "Proportional decay rate (b)" "2 km" "s(Long)" 6.16846863588491e-06 2 2.05586713479446e-06 0.689605878521198
"Temporary" "Proportional decay rate (b)" "2 km" "s(Lat)" 3.95138916602092e-06 2 1.14690842304927e-07 0.965352565467728
"Temporary" "Proportional decay rate (b)" "2 km" "s(Betw_CV)" 5.93222244646594e-06 4 5.09350457497224e-07 0.957951149258485
"Temporary" "Proportional decay rate (b)" "2 km" "s(OutDeg_Med)" 0.772378415950272 2 1.6365502046962 0.122031175236507
"Temporary" "Proportional decay rate (b)" "2 km" "s(WatCov_Mean)" 4.9142377351905e-06 2 1.29505880617236e-06 0.729395288471569
"Temporary" "Collapsing rate (q)" "2 km" "(Intercept)" -0.646143984620645 0.0028504728958666 -226.679575012835 0
"Temporary" "Collapsing rate (q)" "2 km" "s(Long)" 0.335822180204576 2 0.505275596287082 0.217924810632496
"Temporary" "Collapsing rate (q)" "2 km" "s(Lat)" 5.10530851566486e-05 2 3.71603398385486e-06 0.909977236679736
"Temporary" "Collapsing rate (q)" "2 km" "s(Betw_CV)" 0.158050416055104 4 0.178273498154007 0.287089088311467
"Temporary" "Collapsing rate (q)" "2 km" "s(OutDeg_Med)" 1.6145961459885 2 15.4313994827955 6.12391840463244e-05
"Temporary" "Collapsing rate (q)" "2 km" "s(WatCov_Mean)" 0.000111886252703778 2 8.32917259302359e-05 0.414035117937975
"Temporary" "Proportional decay rate (b)" "5 km" "(Intercept)" 0.371359507380535 0.081769361778163 4.54154831718044 5.58425838099755e-06
"Temporary" "Proportional decay rate (b)" "5 km" "s(Long)" 2.80793636575387e-06 2 2.25927579144073e-07 0.91455255043529
"Temporary" "Proportional decay rate (b)" "5 km" "s(Lat)" 2.75085364470933e-06 2 5.63475471518557e-07 0.782879917740448
"Temporary" "Proportional decay rate (b)" "5 km" "s(Betw_CV)" 4.08059577786513e-06 4 1.57094616895531e-06 0.699059034550163
"Temporary" "Proportional decay rate (b)" "5 km" "s(OutDeg_Med)" 0.760231023522994 2 3.06848026399882 0.0445341099885586
"Temporary" "Proportional decay rate (b)" "5 km" "s(WatCov_Mean)" 2.47512514416272e-06 2 2.2822759372991e-08 0.988811902200566
"Temporary" "Collapsing rate (q)" "5 km" "(Intercept)" -0.639906437972434 0.00309883680808983 -206.498914786959 0
"Temporary" "Collapsing rate (q)" "5 km" "s(Long)" 0.226573844132206 2 0.292721570284297 0.244065793311865
"Temporary" "Collapsing rate (q)" "5 km" "s(Lat)" 5.06554064996594e-05 2 1.97469661446858e-06 0.942793249634996
"Temporary" "Collapsing rate (q)" "5 km" "s(Betw_CV)" 1.18626193389256 4 1.77047591101905 0.197910599623818
"Temporary" "Collapsing rate (q)" "5 km" "s(OutDeg_Med)" 1.57427588496778 2 12.2303254733892 0.000272546714461197
"Temporary" "Collapsing rate (q)" "5 km" "s(WatCov_Mean)" 4.05662764815549e-05 2 7.29898924722361e-06 0.768034929144274
"Temporary" "Proportional decay rate (b)" "10 km" "(Intercept)" 0.450247578334864 0.0901583339811428 4.99396515500204 5.91520746477109e-07
"Temporary" "Proportional decay rate (b)" "10 km" "s(Long)" 4.47212582751093e-06 2 1.01991293223988e-06 0.767476429916446
"Temporary" "Proportional decay rate (b)" "10 km" "s(Lat)" 7.48496052513431e-05 2 7.05406405594828e-05 0.328809610215536
"Temporary" "Proportional decay rate (b)" "10 km" "s(Betw_CV)" 4.22992358016595e-06 4 1.25611195461202e-06 0.756045078831865
"Temporary" "Proportional decay rate (b)" "10 km" "s(OutDeg_Med)" 0.221006191781272 2 0.302977943095858 0.24165695792889
"Temporary" "Proportional decay rate (b)" "10 km" "s(WatCov_Mean)" 5.93239256791077e-06 2 1.13784747615442e-06 0.792651611766183
"Temporary" "Collapsing rate (q)" "10 km" "(Intercept)" -0.636801737951794 0.00315355135678798 -201.931621180384 0
"Temporary" "Collapsing rate (q)" "10 km" "s(Long)" 0.381048354196316 2 0.615620670159561 0.203627834150963
"Temporary" "Collapsing rate (q)" "10 km" "s(Lat)" 1.70746295807606e-05 2 6.21347918384311e-06 0.650417606849628
"Temporary" "Collapsing rate (q)" "10 km" "s(Betw_CV)" 2.39749178588528e-05 4 1.06333500079342e-05 0.620540821508696
"Temporary" "Collapsing rate (q)" "10 km" "s(OutDeg_Med)" 0.719207621918506 2 2.56272192695402 0.0590202984274845
"Temporary" "Collapsing rate (q)" "10 km" "s(WatCov_Mean)" 1.7544682633099e-05 2 8.54701936745266e-08 0.994090545133598
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "(Intercept)" -1.08616500486874 0.0827683307424782 -13.1229540951863 2.43264086497081e-39
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "s(Long)" 1.57313094095949 2 9.56850679910223 0.0015074004208202
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "s(Lat)" 3.86616776551525e-05 2 2.87349840978666e-05 0.365502675926151
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "s(Betw_CV)" 1.80276030774472 4 6.73609878249844 0.00906935219042593
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "s(OutDeg_Med)" 1.44075274929198 2 8.91273874564394 0.00208289821182883
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "s(WatCov_Mean)" 1.78366843899756 2 28.3215256732007 0
"Ephemeral" "Proportional decay rate (b)" "0.001 km" "s(EcoRSize)" 0.859861319404603 2 6.13590710045197 0.00243423811465693
"Ephemeral" "Collapsing rate (q)" "0.001 km" "(Intercept)" -0.778026091939053 0.00658519240816114 -118.147814629506 0
"Ephemeral" "Collapsing rate (q)" "0.001 km" "s(Long)" 0.0244881239289006 2 0.0250075475241212 0.306939364469595
"Ephemeral" "Collapsing rate (q)" "0.001 km" "s(Lat)" 0.275596630330021 2 0.379929986716469 0.22850844590594
"Ephemeral" "Collapsing rate (q)" "0.001 km" "s(Betw_CV)" 1.49922598511295e-05 4 2.8845316363277e-06 0.847426231125866
"Ephemeral" "Collapsing rate (q)" "0.001 km" "s(OutDeg_Med)" 1.21984299933916 2 24.264567618558 5.96219734472214e-07
"Ephemeral" "Collapsing rate (q)" "0.001 km" "s(WatCov_Mean)" 0.917707606584705 2 11.1731039912165 0.000361582809618399
"Ephemeral" "Collapsing rate (q)" "0.001 km" "s(EcoRSize)" 0.770506789120777 2 3.35484627229649 0.0327704475756905
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "(Intercept)" -0.474145754400999 0.0686645548146878 -6.90524763002725 5.01159287160273e-12
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "s(Long)" 1.28256726972035 2 5.11561451793639 0.0156388473248823
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "s(Lat)" 8.11352122568398e-06 2 2.65828836154679e-06 0.640949188619371
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "s(Betw_CV)" 1.61318565868028 4 5.55309538831762 0.0173268153974574
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "s(OutDeg_Med)" 1.24799105337415 2 8.65968238051315 0.00158449755999945
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "s(WatCov_Mean)" 0.709018776736603 2 2.40468151757416 0.0473314973722184
"Ephemeral" "Proportional decay rate (b)" "0.1 km" "s(EcoRSize)" 6.51938915829054e-06 2 2.04172611588761e-07 0.960653834150275
"Ephemeral" "Collapsing rate (q)" "0.1 km" "(Intercept)" -0.731267853528815 0.00803562891152725 -91.0031886215898 0
"Ephemeral" "Collapsing rate (q)" "0.1 km" "s(Long)" 0.581132255591732 2 1.38739075163363 0.12187581836679
"Ephemeral" "Collapsing rate (q)" "0.1 km" "s(Lat)" 8.53019588827635e-06 2 1.00442777467866e-06 0.807776920618773
"Ephemeral" "Collapsing rate (q)" "0.1 km" "s(Betw_CV)" 1.46333276025012e-05 4 1.65957409340538e-07 0.9983177264187
"Ephemeral" "Collapsing rate (q)" "0.1 km" "s(OutDeg_Med)" 1.75141586369903 2 18.4159114802014 2.77064644393921e-05
"Ephemeral" "Collapsing rate (q)" "0.1 km" "s(WatCov_Mean)" 1.01009442511988e-05 2 2.1467848303839e-06 0.727410880449542
"Ephemeral" "Collapsing rate (q)" "0.1 km" "s(EcoRSize)" 8.16689538578372e-06 2 1.14663152463886e-06 0.848776411539914
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "(Intercept)" -0.601796546955763 0.142951937654567 -4.20978237042132 2.55616791630659e-05
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "s(Long)" 0.762753002397524 2 3.19035277360352 0.0366822076336695
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "s(Lat)" 1.80816999898238 2 18.6005215448909 1.51077622070339e-05
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "s(Betw_CV)" 0.973557002002785 4 2.352822990243 0.0764944746662956
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "s(OutDeg_Med)" 1.75406557638236 2 14.2913576574969 0.00016104117388771
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "s(WatCov_Mean)" 0.7586524226426 2 3.2014970304496 0.0311007582520285
"Ephemeral" "Proportional decay rate (b)" "0.5 km" "s(EcoRSize)" 0.939950445114183 2 15.186204907583 5.76523425865894e-06
"Ephemeral" "Collapsing rate (q)" "0.5 km" "(Intercept)" -0.725097482692023 0.0132855315609208 -54.577980517158 0
"Ephemeral" "Collapsing rate (q)" "0.5 km" "s(Long)" 0.391291930718134 2 0.646370768094567 0.186834738168042
"Ephemeral" "Collapsing rate (q)" "0.5 km" "s(Lat)" 0.667201755286819 2 2.00764032194659 0.0736056085757372
"Ephemeral" "Collapsing rate (q)" "0.5 km" "s(Betw_CV)" 2.14589145165658e-05 4 2.42760770026631e-06 0.93183164709085
"Ephemeral" "Collapsing rate (q)" "0.5 km" "s(OutDeg_Med)" 1.31916361894839 2 5.13921311362285 0.0185739970859748
"Ephemeral" "Collapsing rate (q)" "0.5 km" "s(WatCov_Mean)" 0.332966646849622 2 0.497656831585097 0.217957199282901
"Ephemeral" "Collapsing rate (q)" "0.5 km" "s(EcoRSize)" 0.603984361946841 2 1.52501424870377 0.0993131120511381
"Ephemeral" "Proportional decay rate (b)" "1 km" "(Intercept)" -0.809427671927753 0.1458592240567 -5.54937596276463 2.86691066274631e-08
"Ephemeral" "Proportional decay rate (b)" "1 km" "s(Long)" 0.925193456655378 2 12.1846885066428 0.00025624528576762
"Ephemeral" "Proportional decay rate (b)" "1 km" "s(Lat)" 0.920423462523674 2 10.9979907402226 0.000396011395613405
"Ephemeral" "Proportional decay rate (b)" "1 km" "s(Betw_CV)" 9.9011245248926e-06 4 9.57644074752905e-07 0.959849690669496
"Ephemeral" "Proportional decay rate (b)" "1 km" "s(OutDeg_Med)" 0.366438397551286 2 0.463779862080829 0.254916239473096
"Ephemeral" "Proportional decay rate (b)" "1 km" "s(WatCov_Mean)" 1.61900168944187 2 8.85798164277458 0.00383435482392092
"Ephemeral" "Proportional decay rate (b)" "1 km" "s(EcoRSize)" 0.931019332255302 2 13.1159576461775 0.000116069052611412
"Ephemeral" "Collapsing rate (q)" "1 km" "(Intercept)" -0.720207767169934 0.00803249016944323 -89.6618298905251 0
"Ephemeral" "Collapsing rate (q)" "1 km" "s(Long)" 0.441592703979213 2 0.794022356210933 0.167923073093763
"Ephemeral" "Collapsing rate (q)" "1 km" "s(Lat)" 0.842461137422192 2 5.35205456379067 0.00877876090825502
"Ephemeral" "Collapsing rate (q)" "1 km" "s(Betw_CV)" 1.3829347238325e-05 4 1.37746509559989e-06 0.950016210369738
"Ephemeral" "Collapsing rate (q)" "1 km" "s(OutDeg_Med)" 1.37366911527449 2 11.9094363724106 0.00031519759550358
"Ephemeral" "Collapsing rate (q)" "1 km" "s(WatCov_Mean)" 1.15508997607612 2 3.91859096305729 0.0341553359611489
"Ephemeral" "Collapsing rate (q)" "1 km" "s(EcoRSize)" 0.616711569076951 2 1.6076718748767 0.0911020620162658
"Ephemeral" "Proportional decay rate (b)" "2 km" "(Intercept)" -0.82304127567804 0.153435180925298 -5.36409753431155 8.13549375803367e-08
"Ephemeral" "Proportional decay rate (b)" "2 km" "s(Long)" 0.914946534592316 2 10.647642039692 0.000568501325037385
"Ephemeral" "Proportional decay rate (b)" "2 km" "s(Lat)" 0.923604042403881 2 11.4624343836463 0.000362704706839856
"Ephemeral" "Proportional decay rate (b)" "2 km" "s(Betw_CV)" 8.80717325784336e-06 4 1.4197995416367e-06 0.908911031963436
"Ephemeral" "Proportional decay rate (b)" "2 km" "s(OutDeg_Med)" 0.0810560390432428 2 0.0851399115072751 0.299812236525937
"Ephemeral" "Proportional decay rate (b)" "2 km" "s(WatCov_Mean)" 1.07886233759402 2 6.50265297087545 0.00688415934402231
"Ephemeral" "Proportional decay rate (b)" "2 km" "s(EcoRSize)" 0.891467036082202 2 8.09659977194502 0.0020485101565485
"Ephemeral" "Collapsing rate (q)" "2 km" "(Intercept)" -0.70788422654189 0.00743038544049344 -95.2688433474967 0
"Ephemeral" "Collapsing rate (q)" "2 km" "s(Long)" 4.17623646615717e-05 2 2.07951420692938e-05 0.574796046254384
"Ephemeral" "Collapsing rate (q)" "2 km" "s(Lat)" 0.817595097064881 2 4.48358456313944 0.0169264030924379
"Ephemeral" "Collapsing rate (q)" "2 km" "s(Betw_CV)" 4.37338501311447e-05 4 1.68028372601913e-06 0.989498390084785
"Ephemeral" "Collapsing rate (q)" "2 km" "s(OutDeg_Med)" 1.51566519565033 2 11.6424892393453 0.000384367051915135
"Ephemeral" "Collapsing rate (q)" "2 km" "s(WatCov_Mean)" 0.637432725036638 2 1.75608893618305 0.0920952332701881
"Ephemeral" "Collapsing rate (q)" "2 km" "s(EcoRSize)" 0.486783279224807 2 0.950815319593877 0.153532671921087
"Ephemeral" "Proportional decay rate (b)" "5 km" "(Intercept)" -0.7420600639707 0.155738856481502 -4.76477149463877 1.89067788629623e-06
"Ephemeral" "Proportional decay rate (b)" "5 km" "s(Long)" 0.88688384178697 2 7.80782283718874 0.00272079474218989
"Ephemeral" "Proportional decay rate (b)" "5 km" "s(Lat)" 0.92088530879962 2 10.9091284211665 0.000395882626914035
"Ephemeral" "Proportional decay rate (b)" "5 km" "s(Betw_CV)" 7.97384570136189e-06 4 1.03871752071627e-06 0.933242502498351
"Ephemeral" "Proportional decay rate (b)" "5 km" "s(OutDeg_Med)" 0.387081530157872 2 0.502630678598116 0.248127019760121
"Ephemeral" "Proportional decay rate (b)" "5 km" "s(WatCov_Mean)" 1.29004593941113 2 7.10536272059349 0.00552452906286938
"Ephemeral" "Proportional decay rate (b)" "5 km" "s(EcoRSize)" 0.89113905061773 2 7.98009207973731 0.00209453364558909
"Ephemeral" "Collapsing rate (q)" "5 km" "(Intercept)" -0.702399213146381 0.00654481941948618 -107.321404629606 0
"Ephemeral" "Collapsing rate (q)" "5 km" "s(Long)" 0.00016094411056695 2 0.000125990399329232 0.419526579308529
"Ephemeral" "Collapsing rate (q)" "5 km" "s(Lat)" 0.866858321329739 2 6.51585733648979 0.00469382169818
"Ephemeral" "Collapsing rate (q)" "5 km" "s(Betw_CV)" 2.80109681936162e-05 4 7.29016600172201e-06 0.797204856413626
"Ephemeral" "Collapsing rate (q)" "5 km" "s(OutDeg_Med)" 1.48702726784931 2 16.4474461760167 3.25927240574231e-05
"Ephemeral" "Collapsing rate (q)" "5 km" "s(WatCov_Mean)" 0.902620492884828 2 5.08413001590992 0.0128800173400586
"Ephemeral" "Collapsing rate (q)" "5 km" "s(EcoRSize)" 0.67333341368516 2 2.06040422207929 0.0751930665123252
"Ephemeral" "Proportional decay rate (b)" "10 km" "(Intercept)" -0.487820620488439 0.072927395635156 -6.68912712760137 2.24505641658106e-11
"Ephemeral" "Proportional decay rate (b)" "10 km" "s(Long)" 0.513698013251362 2 1.06920602196018 0.144535294987178
"Ephemeral" "Proportional decay rate (b)" "10 km" "s(Lat)" 0.885241275905215 2 7.58095022357859 0.00186218274786731
"Ephemeral" "Proportional decay rate (b)" "10 km" "s(Betw_CV)" 0.595340600198 4 1.42920988366869 0.115566889545446
"Ephemeral" "Proportional decay rate (b)" "10 km" "s(OutDeg_Med)" 0.685367265376703 2 2.13492592566687 0.0729532849131762
"Ephemeral" "Proportional decay rate (b)" "10 km" "s(WatCov_Mean)" 1.22364050980925 2 8.25288575607555 0.00255318148529937
"Ephemeral" "Proportional decay rate (b)" "10 km" "s(EcoRSize)" 7.25654042589861e-06 2 6.13519999181951e-07 0.910168335327825
"Ephemeral" "Collapsing rate (q)" "10 km" "(Intercept)" -0.693436738721225 0.0045615133076012 -152.019010350293 0
"Ephemeral" "Collapsing rate (q)" "10 km" "s(Long)" 0.178358476585392 2 0.217271482258414 0.265174683324852
"Ephemeral" "Collapsing rate (q)" "10 km" "s(Lat)" 1.62044534713976 2 10.1977949094175 0.00166390275126882
"Ephemeral" "Collapsing rate (q)" "10 km" "s(Betw_CV)" 2.2293345126292e-05 4 5.71595955587365e-06 0.800573355111648
"Ephemeral" "Collapsing rate (q)" "10 km" "s(OutDeg_Med)" 0.88734433025059 2 7.86864839657571 0.00208952860601064
"Ephemeral" "Collapsing rate (q)" "10 km" "s(WatCov_Mean)" 0.917547026733117 2 11.123337022701 0.000395306943937301
"Ephemeral" "Collapsing rate (q)" "10 km" "s(EcoRSize)" 5.09837360534814e-05 2 2.26579884890071e-05 0.565667802721428
